student_id,course_id,satisfaction_score
1,A,85
1,B,60
1,C,70
1,D,75
1,E,80
1,F,65
1,G,90
1,H,50
1,I,55
1,J,95
2,A,75
2,B,95
2,C,60
2,D,70
2,E,90
2,F,85
2,G,50
2,H,80
2,I,65
2,J,55
3,A,60
3,B,80
3,C,85
3,D,90
3,E,70
3,F,95
3,G,75
3,H,55
3,I,50
3,J,65
4,A,65
4,B,70
4,C,60
4,D,55
4,E,50
4,F,80
4,G,85
4,H,90
4,I,75
4,J,95
5,A,70
5,B,85
5,C,75
5,D,60
5,E,55
5,F,50
5,G,95
5,H,90
5,I,80
5,J,65
6,A,90
6,B,60
6,C,80
6,D,85
6,E,50
6,F,75
6,G,55
6,H,70
6,I,95
6,J,65
7,A,55
7,B,80
7,C,50
7,D,95
7,E,75
7,F,90
7,G,85
7,H,65
7,I,60
7,J,70
8,A,50
8,B,75
8,C,90
8,D,80
8,E,85
8,F,60
8,G,95
8,H,70
8,I,65
8,J,55
9,A,95
9,B,50
9,C,55
9,D,60
9,E,65
9,F,70
9,G,75
9,H,80
9,I,85
9,J,90
10,A,80
10,B,90
10,C,95
10,D,50
10,E,75
10,F,85
10,G,70
10,H,65
10,I,55
10,J,60
